timestamp,close
2000-01-31,7.4075
2000-02-01,7.2221
2000-02-02,7.4075
2000-02-03,7.4446
2000-02-04,7.5183
2000-02-07,7.4446
2000-02-08,7.4704
2000-02-09,7.2221
2000-02-10,7.0742
2000-02-11,7.0
2000-02-14,6.8517
2000-02-15,6.7408
2000-02-16,6.815
2000-02-17,6.5963
2000-02-18,6.515
2000-02-21,6.5183
2000-02-22,6.5183
2000-02-23,6.445
2000-02-24,6.5075
2000-02-25,6.6296
2000-02-28,6.5554
2000-02-29,6.5
2000-03-01,6.4446
2000-03-02,6.2962
2000-03-03,6.5371
2000-03-06,2757810.0
2000-03-07,2757810.0
2000-03-08,6.6667
2000-03-09,6.5921
2000-03-10,6.5183
2000-03-13,2750000.0
2000-03-14,6.2296
2000-03-15,6.0371
2000-03-16,5.9625
2000-03-17,5.9258
2000-03-20,5.8517
2000-03-21,5.7408
2000-03-22,5.815
2000-03-23,6.0742
2000-03-24,6.1483
2000-03-27,6.185
2000-03-28,6.0925
2000-03-29,5.9988
2000-03-30,6.2217
2000-03-31,6.5371
2000-04-03,6.315
2000-04-04,6.2587
2000-04-05,6.3325
2000-04-06,6.3704
2000-04-07,6.5108
2000-04-10,6.2958
2000-04-11,6.2429
2000-04-12,6.3704
2000-04-13,6.0
2000-04-14,5.8888
2000-04-17,5.7
2000-04-18,5.8888
2000-04-19,5.685
2000-04-20,5.8517
2000-04-21,2468750.0
2000-04-24,5.6663
2000-04-25,5.8721
2000-04-26,6.1512
2000-04-27,6.2779
2000-04-28,6.315
2000-05-01,2664060.0
2000-05-02,6.1479
2000-05-03,5.815
2000-05-04,5.7408
2000-05-05,5.7779
2000-05-08,5.5554
2000-05-09,5.3742
2000-05-10,5.2221
2000-05-11,5.2592
2000-05-12,5.185
2000-05-15,5.4817
2000-05-16,5.5
2000-05-17,5.4075
2000-05-18,5.2946
2000-05-19,5.2408
2000-05-22,4.9629
2000-05-23,4.8204
2000-05-24,4.885
2000-05-25,4.7592
2000-05-26,4.7592
2000-05-29,4.8113
2000-05-30,5.0408
2000-05-31,4.9262
2000-06-01,5.0742
2000-06-02,5.2667
2000-06-05,5.1483
2000-06-06,2171880.0
2000-06-07,5.0742
2000-06-08,5.1667
2000-06-09,5.185
2000-06-12,5.1296
2000-06-13,5.0379
2000-06-14,5.0221
2000-06-15,4.9258
2000-06-16,4.7888
2000-06-19,5.0738
2000-06-20,5.1317
2000-06-21,5.5742
2000-06-22,2351560.0
2000-06-23,5.4721
2000-06-26,5.4258
2000-06-27,5.3521
2000-06-28,5.4258
2000-06-29,5.375
2000-06-30,5.0742
2000-07-03,5.0742
2000-07-04,5.3038
2000-07-05,5.6487
2000-07-06,5.8888
2000-07-07,6.1112
2000-07-10,6.0396
2000-07-11,5.815
2000-07-12,5.815
2000-07-13,5.6296
2000-07-14,5.7038
2000-07-17,5.9996
2000-07-18,6.0554
2000-07-19,5.7779
2000-07-20,5.7779
2000-07-21,5.9258
2000-07-24,5.9963
2000-07-25,6.0371
2000-07-26,5.9075
2000-07-27,5.8517
2000-07-28,5.6962
2000-07-31,5.9258
2000-08-01,5.8888
2000-08-02,5.9704
2000-08-03,5.9629
2000-08-04,6.0667
2000-08-07,6.3517
2000-08-08,6.3713
2000-08-09,6.3333
2000-08-10,6.2058
2000-08-11,6.4262
2000-08-14,6.4779
2000-08-15,6.4592
2000-08-16,6.4258
2000-08-17,6.5183
2000-08-18,6.4629
2000-08-21,6.3329
2000-08-22,6.4258
2000-08-23,6.4446
2000-08-24,6.5183
2000-08-25,6.7033
2000-08-28,6.6721
2000-08-29,6.8742
2000-08-30,7.2038
2000-08-31,7.2779
2000-09-01,7.2033
2000-09-04,7.0483
2000-09-05,7.0371
2000-09-06,7.2371
