ativo,variacaoPercentual
RANI3,inf
SBSP3,8738.272259083558
BRKM5,4186.733501750184
CEGR3,166.40819456483973
TRPL4,33.54289069942988
OIBR3,17.10240043857492
CMIG4,15.612826179963681
RAPT3,11.722563364969552
CESP6,11.153448961320118
TIMP3,7.48482223900194
CGAS3,6.482951064329852
CGRA3,2.355480572323212
CTKA4,2.0741237757927826
HGTX3,2.0551529749836246
BRAP3,1.9586408333577985
SCAR3,1.8229314190465737
LIQO3,0.9300103078437572
SHUL4,0.8743389767020403
EALT4,0.32448459604094837
GSHP3,0.23728344075768443
ETER3,0.09542414975838766
GFSA3,0.06434376933800412
INEP4,0.04704247687640137
ABEV3,0.046919686463352706
IGBR3,0.03782178045330768
BBRK3,0.03778129792819383
CTNM4,0.029641852205724135
PTBL3,0.028330280226256967
USIM3,0.026759408749614966
ATOM3,0.02164988380543537
WHRL3,0.018240558780332768
PMAM3,0.012355542046457633
HOOT4,0.01032252014045342
BIOM3,0.010001370366120843
ALPA3,0.009404403152127063
NTCO3,0.00923389535485435
TASA4,0.00764302257011154
GOAU4,0.007266306239942182
POMO4,0.007166125747075202
DMMO3,0.006860623348147826
RADL3,0.006379093564060309
CNTO3,0.006240816675518998
TIET11,0.005473753896750041
CPFE3,0.005189618739177454
RNEW4,0.005155844225868502
UNIP3,0.004797803047002162
ALUP11,0.004718000998283297
SANB3,0.004694473225472517
WHRL4,0.004603143478997718
BIDI4,0.004516617667237685
YDUQ3,0.004275740540341425
EUCA4,0.004042543841842714
LREN3,0.003926588244098675
ALSO3,0.0036378235317748994
BRAP4,0.00351605429946197
TASA3,0.0035019918826166207
VIVA3,0.003498443296102465
SAPR3,0.003397639564189577
KLBN11,0.0032470927662817807
LOGG3,0.003241855257581648
LEVE3,0.003170711806640438
NEOE3,0.0030782802183383605
BMGB4,0.0028458676414386363
LAME3,0.0028299538991007106
SAPR11,0.002674328834809103
RSID3,0.0026582384734605206
IRBR3,0.0025536682204579477
WEGE3,0.002486126883858555
ESTR4,0.0023631718100790154
TAEE11,0.002237977930766816
MGLU3,0.0021728405199731866
UGPA3,0.0021001552116997374
POMO3,0.0020868203782677098
PDGR3,0.0020144048620176582
TELB4,0.0019885014521645954
COCE5,0.001951720100793859
VVAR3,0.001945124440740027
BRKM3,0.001934160243059435
MYPK3,0.0018773558491492414
RENT3,0.001793296257645122
UNIP5,0.0017910801306693235
KLBN3,0.0017040844213437835
CCRO3,0.001695133336527541
RPMG3,0.0016934257835439569
CGRA4,0.0016833842344480296
AZUL4,0.0016741606605515467
ITSA3,0.0016403603229803046
BIDI3,0.0016219080885047834
RNEW11,0.0016150049909605514
FRAS3,0.001581536115555352
MOVI3,0.0015188825011535098
LCAM3,0.001427438787799058
ALUP3,0.0014228746135056252
ALUP4,0.0014219195432232181
STBP3,0.0014105896232416767
AAPL34,0.0014002596369798834
BRDT3,0.001373133386402593
BIDI11,0.001343997673991311
TIET3,0.0013304062815465809
RAPT4,0.0013117589549853919
EGIE3,0.0012779358250186474
COGN3,0.001252520333141422
CYRE3,0.001220477668207063
MULT3,0.0011477794905282203
RAIL3,0.00111763607480944
FESA4,0.0011128287337728603
AGRO3,0.0010290996401230027
SAPR4,0.0010200152875851963
UNIP6,0.0010136664068208883
ALPA4,0.0010115436594906842
LAME4,0.0009783655185101547
PETR3,0.000975814692605254
JBSS3,0.0009743920551998248
ITSA4,0.0009583606884804935
EZTC3,0.0009582266981872867
BBAS3,0.0009470258432378096
TOTS3,0.0009279949263947092
BBDC3,0.0009259485801222031
SANB4,0.000919689116388158
LINX3,0.0009035928646169082
ANIM3,0.0008923347081059901
B3SA3,0.0008732345429252672
VALE3,0.0008727430972147854
SEER3,0.0008676862228265541
CRFB3,0.0008482249196265085
GRND3,0.0008469907566937897
CGAS5,0.0008393517299268093
USIM5,0.0008390245644653252
ITUB3,0.0008371013172187813
CESP3,0.0008229418711107525
LLIS3,0.0008095708980908482
CSNA3,0.0008069294062116554
ODPV3,0.0008039015161711074
QUAL3,0.0008029923325139711
CVCB3,0.0007990039484084085
PSSA3,0.0007961492575251763
PARD3,0.0007798656929199111
MRVE3,0.0007696051406411776
ITUB4,0.0007615614176287389
GOLL4,0.0007587903476590853
HYPE3,0.0007583186265137589
BRML3,0.0007556685501150762
ARZZ3,0.0007535069611990165
MDIA3,0.000738018465070639
KLBN4,0.0007350769319664946
CPLE3,0.0007196442598288389
PRIO3,0.0007042572497888706
SMLS3,0.0006993830124903073
PETR4,0.0006908427875454467
CMIG3,0.0006764113108065218
SUZB3,0.0006671089794072012
RLOG3,0.0006604479887420185
FLRY3,0.0006600479462591115
SMTO3,0.0006591447931719535
CPLE6,0.0006332925866358337
BBSE3,0.0006290465100183034
TIET4,0.0006082480810827379
HBOR3,0.0006009987152188463
BRSR6,0.0005937408518082217
IGTA3,0.0005632075736687234
EVEN3,0.0005425037617838289
OFSA3,0.0005375628604002904
SANB11,0.0005342769576393954
PCAR4,0.0005336667417322324
CLSC4,0.0005275153362151801
JHSF3,0.0004961014812277502
AMAR3,0.0004644043646079981
BPAN4,0.000456847245679396
DIRR3,0.0004371022089655119
BBDC4,0.0004261137028364992
CPRE3,0.00042285267016893026
LUPA3,0.0003850752709681766
LPSB3,0.0003661756285902811
POSI3,0.00033389384587498083
SLED4,0.0003217673064542494
VIVT3,0.0003092541697828689
BRPR3,0.0003088704160699898
CARD3,0.0002968602251678063
AALR3,0.0002875596014315529
MRFG3,0.0002833048053367575
VLID3,0.0002760988010926515
VIVT4,0.00023395476585859345
RDNI3,0.00020761269461538502
AVON34,0.0001917193737967586
BEEF3,0.00016351142947012044
CAML3,0.00015638713945944534
CIEL3,0.0001515479274866781
BSEV3,9.178568316733126e-05
TPIS3,6.983143547567709e-05
BEEF11,0.0
DMMO11,0.0
TAEE4,-3.510687196956228e-05
TCSA3,-0.0001398046406149015
ENEV3,-0.00020974850029654892
OIBR4,-0.00037613137903361524
APER3,-0.0005166208649248672
RNEW3,-0.0009550084686330835
OSXB3,-0.0011827581623098523
GBIO33,-0.001311140304590448
CCXC3,-0.0013250381025581627
CEAB3,-0.0015334218939954763
BMGB11,-0.03122918607510107
